38.722282,-9.138788
38.722282,-9.138648
38.722274,-9.138589
38.722287,-9.138439
38.722324,-9.138349
38.722350,-9.138316
38.722384,-9.138283
38.722400,-9.138225
38.722415,-9.138169
38.722436,-9.138138
38.722448,-9.138111
38.722462,-9.138077
38.722479,-9.138047
38.722493,-9.138033
38.722508,-9.138016
38.722520,-9.137993
38.722539,-9.137963
38.722550,-9.137934
38.722575,-9.137900
38.722573,-9.137883
38.722567,-9.137863
38.722564,-9.137837
38.722543,-9.137833
38.722541,-9.137819
38.722534,-9.137803
38.722524,-9.137795
38.722514,-9.137786
38.722503,-9.137767
38.722492,-9.137751
38.722483,-9.137747
38.722473,-9.137728
38.722465,-9.137715
38.722454,-9.137702
38.722437,-9.137681
38.722421,-9.137656
38.722409,-9.137639
38.722390,-9.137626
38.722377,-9.137597
38.722361,-9.137576
38.722346,-9.137553
38.722321,-9.137518
38.722305,-9.137492
38.722286,-9.137465
38.722269,-9.137445
38.722254,-9.137411
38.722241,-9.137402
38.722256,-9.137373
38.722250,-9.137360
38.722241,-9.137351
38.722278,-9.137327
38.722368,-9.137325
38.722395,-9.137351
38.722444,-9.137335
38.722461,-9.137312
38.722522,-9.137312
38.722567,-9.137327
38.722608,-9.137310
